PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Matt Prater,2506677,K,ARI,LA,2,,,,,1,2,,,,1,16.00
Justin Tucker,2536340,K,BAL,@CLE,1,,,,,1,2,,,,2,15.00
Harrison Butker,2558245,K,KC,LV,6,,,,1,,1,,,,3,14.00
Matt Gay,2562271,K,LA,@ARI,3,,,,2,,1,,,,4,14.00
Cairo Santos,2550636,K,CHI,@GB,3,,,1,,2,,,,,5,14.00
Dustin Hopkins,2539227,K,LAC,NYG,4,,,2,1,,,,,,6,13.00
Greg Zuerlein,2534797,K,DAL,@WAS,1,,,1,3,,,,,,7,13.00
Younghoe Koo,2559205,K,ATL,@CAR,2,,,,2,1,,,,,8,12.80
Brett Maher,2540243,K,NO,@NYJ,3,,,1,2,,,,,,9,12.00
Evan McPherson,2565953,K,CIN,SF,2,,,1,1,1,,,,,10,12.00
Tyler Bass,2563596,K,BUF,@TB,3,,,2,,,,,,,11,10.70
Greg Joseph,2561534,K,MIN,PIT,3,1,,1,1,1,,,,,12,10.00
Brandon McManus,2541556,K,DEN,DET,5,,,,,,1,,,,13,10.00
Eddy Pineiro,2560842,K,NYJ,NO,,,,,2,1,,,,,14,10.00
Randy Bullock,2533444,K,TEN,JAX,2,,,1,,1,,,,,15,9.00
Mason Crosby,2507232,K,GB,CHI,6,,,1,,,,,,,16,9.00
Ka'imi Fairbairn,2556521,K,HOU,SEA,1,,,1,,,1,,,,17,9.00
Ryan Succop,89802,K,TB,BUF,3,,,2,,,,,,,18,9.00
Robbie Gould,2506264,K,SF,@CIN,2,,,1,1,,,,,,19,8.00
Chase McLaughlin,2563203,K,CLE,BAL,3,,,,,1,,,,,20,7.00
Zane Gonzalez,2558178,K,CAR,ATL,3,,,,,,,,,,21,4.70
Riley Patterson,2567013,K,DET,@DEN,1,,,,1,,,,,,22,4.00
Jason Myers,2553112,K,SEA,@HOU,1,2,,,2,,,,,,23,2.70
Chris Boswell,2550545,K,PIT,@MIN,2,,,,,,,,,,24,2.00
Graham Gano,71309,K,NYG,@LAC,1,,,,,,,,,,25,1.00
Roberto Aguayo,2555408,K,FA,Bye,,,,,,,,,,,26,0.00
Matt Ammendola,2565555,K,NYJ,NO,,,,,,,,,,,27,0.00
Mike Badgley,2560965,K,IND,Bye,,,,,,,,,,,28,0.00
Dan Bailey,2495259,K,FA,Bye,,,,,,,,,,,29,0.00
Rodrigo Blankenship,2564106,K,IND,Bye,,,,,,,,,,,30,0.00
Chris Blewitt,2562800,K,CLE,BAL,,,,,,,,,,,31,0.00
Daniel Carlson,2560993,K,LV,@KC,,1,,1,,,,,,,32,0.00
Chandler Catanzaro,2550325,K,FA,Bye,,,,,,,,,,,33,0.00
Dominik Eberle,2565360,K,CAR,ATL,,,,,,,,,,,34,0.00
Jake Elliott,2558172,K,PHI,Bye,,,,,,,,,,,35,0.00
Sam Ficken,2557430,K,TEN,JAX,,,,,,,,,,,36,0.00
Nick Folk,2507225,K,NE,Bye,,,,,,,,,,,37,0.00
Kai Forbath,2495150,K,FA,Bye,,,,,,,,,,,38,0.00
Elliott Fry,2562897,K,CIN,SF,,,,,,,,,,,39,0.00
Stephen Gostkowski,2506922,K,FA,Bye,,,,,,,,,,,40,0.00
Lirim Hajrullahu,2563449,K,CAR,ATL,,,,,,,,,,,41,0.00
Stephen Hauschka,2507374,K,FA,Bye,,,,,,,,,,,42,0.00
Alex Kessman,2566484,K,FA,Bye,,,,,,,,,,,43,0.00
Josh Lambo,2553833,K,FA,Bye,,,,,,,,,,,44,0.00
Ty Long,2553555,K,LAC,NYG,,,,,,,,,,,45,0.00
Wil Lutz,2556601,K,NO,@NYJ,,,,,,,,,,,46,0.00
Austin MacGinnis,2563452,K,FA,Bye,,,,,,,,,,,47,0.00
Tucker McCann,2565462,K,FA,Bye,,,,,,,,,,,48,0.00
JJ Molson,2565550,K,GB,CHI,,,,,,,,,,,49,0.00
Chris Naggar,2565744,K,FA,Bye,,,,,,,,,,,50,0.00
Quinn Nordin,2565684,K,NE,Bye,,,,,,,,,,,51,0.00
Mike Nugent,2506386,K,FA,Bye,,,,,,,,,,,52,0.00
Cody Parkey,2550380,K,FA,Bye,,,,,,,,,,,53,0.00
Aldrick Rosas,2556771,K,DET,@DEN,,,,,,,,,,,54,0.00
Jason Sanders,2561153,K,MIA,Bye,,,,,,,,,,,55,0.00
Ryan Santoso,2561269,K,LA,@ARI,,,,,,,,,,,56,0.00
Austin Seibert,2562729,K,DET,@DEN,,,,,,,,,,,57,0.00
Joey Slye,2563132,K,WAS,DAL,,,,,,,,,,,58,0.00
Giorgio Tavecchio,2535686,K,FA,Bye,,,,,,,,,,,59,0.00
Jake Verity,2566731,K,BAL,@CLE,,,,,,,,,,,60,0.00
Tristan Vizcaino,2562807,K,LAC,NYG,,,,,,,,,,,61,0.00
Brandon Wright,2564247,K,FA,Bye,,,,,,,,,,,62,0.00
Matthew Wright,2562968,K,JAX,@TEN,,,,,,,,,,,63,0.00
Brian Johnson,2566740,K,WAS,DAL,,1,,,,,,,,,64,-3.00
